mission_range_nmi,method,converged,run_id,fuel_burn_kg,W_wing_maneuver_kg,AR,taper,c4sweep_deg,wall_time_s,error
300.0,single_point,True,run-20260427T222944-9c66b4c3,1613.1277215715695,5518.516215255225,9.45,0.159,25.0,121.35939428699203,
300.0,multipoint,True,run-20260427T223145-445afd11,1613.5355419721595,5518.516215255225,9.45,0.159,25.0,134.98555658990517,
300.0,single_point_plus_climb,True,run-20260427T223400-1dbc4467,2673.130462226646,5518.516215255225,9.45,0.159,25.0,123.62301202805247,
900.0,single_point,True,run-20260427T223604-7eb6d904,4736.113118652107,5518.516215255225,9.45,0.159,25.0,127.63856355496682,
900.0,multipoint,True,run-20260427T223811-678cbc91,4737.209140733278,5518.516215255225,9.45,0.159,25.0,130.45968286693096,
900.0,single_point_plus_climb,True,run-20260427T224022-12fe3cc0,5934.710245410892,5518.516215255225,9.45,0.159,25.0,119.17869270103984,
1500.0,single_point,True,run-20260427T224221-29fd3c86,7726.293493429146,5518.516215255225,9.45,0.159,25.0,133.44724497094285,
1500.0,multipoint,True,run-20260427T224435-307ac902,7727.922181683706,5518.516215255225,9.45,0.159,25.0,116.97500801994465,
1500.0,single_point_plus_climb,True,run-20260427T224632-cbb19991,9057.591276991832,5518.516215255225,9.45,0.159,25.0,131.1315933309961,
2900.0,single_point,True,run-20260427T224843-ff76e288,14218.192470587861,5518.516215255225,9.45,0.159,25.0,134.12347332411446,
2900.0,multipoint,True,run-20260427T225057-523d0c99,14220.547185747693,5518.516215255225,9.45,0.159,25.0,111.24620818102267,
2900.0,single_point_plus_climb,True,run-20260427T225248-6a8c2d25,15837.593027294395,5518.516215255225,9.45,0.159,25.0,139.296216410934,
